Rank,Time,Name,Code,Date of Birth,Place,City,Date,Gender,Event
937,02:26:15,Nadia Ejjafini,ITA,08/11/1980,6,Frankfurt,30/10/2011,Women,Marathon
937,02:26:15,Meseret Legesse,ETH,28/08/1987,2,Hengshui,21/09/2013,Women,Marathon
937,02:26:15,Jelena Prokopcuka,LAT,21/09/1976,4,New York City,02/11/2014,Women,Marathon
937,02:26:15,Letebrhan Gebreslasea,ETH,29/10/1990,1,Rotterdam,10/04/2016,Women,Marathon
946,02:26:16,Mara Yamauchi,GBR,13/08/1973,9,London,25/04/2010,Women,Marathon
946,02:26:16,Sylvia Kibet,KEN,28/03/1984,2,Hamburg,26/04/2015,Women,Marathon
948,02:26:17,Esther Wanjiru,KEN,27/03/1977,4,Sydney,24/09/2000,Women,Marathon
948,02:26:17,Lyubov Denisova,RUS,06/10/1971,2,New York City,03/11/2002,Women,Marathon
948,02:26:17,Hiromi Ominami,JPN,15/11/1975,2,Rotterdam,13/04/2003,Women,Marathon
948,02:26:17,Lee Eun-jung,KOR,21/04/1981,1,Seoul,14/03/2004,Women,Marathon
948,02:26:17,Yolanda Caballero,COL,19/03/1982,8,Boston,18/04/2011,Women,Marathon
948,02:26:17,Belainesh Gebre Zemedkun,ETH,23/12/1987,3,Chicago,09/10/2011,Women,Marathon
948,02:26:17,Eri Hayakawa,JPN,15/11/1981,5,Nagoya,10/03/2013,Women,Marathon
948,02:26:17,Yeshimebet Tadesse,ETH,01/01/1988,3,Seoul,17/03/2013,Women,Marathon
956,02:26:18,Grete Waitz,NOR,01/10/1953,2,Los Angeles,05/08/1984,Women,Marathon
956,02:26:18,Marleen Renders,BEL,24/12/1968,3,Berlin,28/09/1997,Women,Marathon
956,02:26:18,Kayoko Obata,JPN,18/09/1971,4,Osaka,31/01/1999,Women,Marathon
956,02:26:18,Svetlana Zakharova,RUS,15/09/1970,3,Edmonton,12/08/2001,Women,Marathon
956,02:26:18,Lyudmila Petrova,RUS,07/10/1968,6,New York City,04/11/2001,Women,Marathon
956,02:26:18,Lyubov Denisova,RUS,06/10/1971,3,Los Angeles,19/03/2006,Women,Marathon
963,02:26:19,Yoshimi Ozaki,JPN,11/07/1981,2,Nagoya,09/03/2008,Women,Marathon
963,02:26:19,Irina Timofeyeva,RUS,05/04/1970,1,Shanghai,30/11/2008,Women,Marathon
963,02:26:19,Hanae Tanaka,JPN,12/02/1990,3,Osaka,29/01/2017,Women,Marathon
966,02:26:20,Renata Kokowska,POL,04/12/1958,1,Berlin,26/09/1993,Women,Marathon
966,02:26:20,Mizuki Noguchi,JPN,03/07/1978,1,Athínai,22/08/2004,Women,Marathon
966,02:26:20,Teyba Naser,ETH,23/07/1986,2,Los Angeles,21/03/2010,Women,Marathon
966,02:26:20,Desireé Linden,USA,26/07/1983,2,Chicago,10/10/2010,Women,Marathon
966,02:26:20,Mestawat Tufa,ETH,14/09/1983,6,Nagoya,10/03/2013,Women,Marathon
966,02:26:20,Meseret Hailu Debele,ETH,12/09/1990,4,Dubai,24/01/2014,Women,Marathon
966,02:26:20,Marta Lema,ETH,01/01/1990,5,Paris,12/04/2015,Women,Marathon
966,02:26:20,Margaret Agai,KEN,10/06/1988,2,Shanghai,30/10/2016,Women,Marathon
974,02:26:21,Katrin Dörre,GER,06/10/1961,3,Seoul,23/09/1988,Women,Marathon
974,02:26:21,Yukiko Okamoto,JPN,29/11/1974,3,Nagoya,11/03/2001,Women,Marathon
974,02:26:21,Sonja Oberem,GER,24/02/1973,1,Hamburg,21/04/2002,Women,Marathon
974,02:26:21,Joyce Chepchumba,KEN,06/11/1970,4,Chicago,10/10/2004,Women,Marathon
974,02:26:21,Sabrina Mockenhaupt,GER,06/12/1980,4,Berlin,26/09/2010,Women,Marathon
974,02:26:21,Fate Geleto Tola,ETH,22/10/1987,1,Zürich,17/04/2011,Women,Marathon
974,02:26:21,Yebrqual Melese,ETH,18/04/1990,2,Paris,06/04/2014,Women,Marathon
981,02:26:22,Adriana Fernández,MEX,04/04/1971,9,London,22/04/2001,Women,Marathon
981,02:26:22,Grazyna Syrek,POL,09/01/1972,5,Chicago,12/10/2003,Women,Marathon
981,02:26:22,Worknesh Tola,ETH,03/06/1977,2,Seoul,14/03/2004,Women,Marathon
981,02:26:22,Sabrina Mockenhaupt,GER,06/12/1980,1,Frankfurt,26/10/2008,Women,Marathon
981,02:26:22,Agnes Kiprop,KEN,14/12/1979,1,Torino,19/04/2009,Women,Marathon
981,02:26:22,Catherine N'dereba,KEN,21/07/1972,7,London,26/04/2009,Women,Marathon
981,02:26:22,Magdalena Lewy Boulet,USA,01/08/1973,2,Rotterdam,11/04/2010,Women,Marathon
981,02:26:22,Biruktayit Degefa,ETH,29/09/1990,4,Houston,19/01/2014,Women,Marathon
981,02:26:22,Guteni Shone,ETH,17/11/1991,1,Seoul,15/03/2015,Women,Marathon
981,02:26:22,Rael Kiyara,KEN,04/04/1984,1,Chongqing,19/03/2017,Women,Marathon
991,02:26:23,Madina Biktagirova,RUS,20/09/1964,1,Los Angeles,01/03/1992,Women,Marathon
991,02:26:23,Fatuma Roba,ETH,18/12/1973,1,Boston,21/04/1997,Women,Marathon
991,02:26:23,Ham Bong-sil,PRK,08/07/1974,1,Pyongyang,07/04/2002,Women,Marathon
991,02:26:23,Hilda Kibet,NED,27/03/1981,6,Frankfurt,31/10/2010,Women,Marathon
991,02:26:23,Yoko Miyauchi,JPN,19/06/1983,9,Nagoya,11/03/2012,Women,Marathon
991,02:26:23,Rael Kiyara,KEN,04/04/1984,1,Shanghai,08/11/2015,Women,Marathon
997,02:26:24,Uta Pippig,GER,07/09/1965,1,New York City,14/11/1993,Women,Marathon
997,02:26:24,Silviya Skvortsova,RUS,16/11/1974,2,Berlin,20/09/2009,Women,Marathon
997,02:26:24,Tatyana Filonyuk,UKR,05/04/1984,4,Roma,21/03/2010,Women,Marathon
997,02:26:24,Melkaw Gizaw,ETH,17/09/1990,1,Düsseldorf,28/04/2013,Women,Marathon
1,29:17.4,Almaz Ayana,ETH,21/11/1991,1,Rio de Janeiro,08/12/2016,Women,"10,000 m"
2,29:31.8,Wang Junxia,CHN,09/01/1973,1,Beijing,09/08/1993,Women,"10,000 m"
3,29:32.5,Vivian Cheruiyot,KEN,11/09/1983,2,Rio de Janeiro,08/12/2016,Women,"10,000 m"
4,29:42.6,Tirunesh Dibaba,ETH,01/06/1985,3,Rio de Janeiro,08/12/2016,Women,"10,000 m"
5,29:53.5,Alice Nawowuna,KEN,11/03/1994,4,Rio de Janeiro,08/12/2016,Women,"10,000 m"
6,29:53.8,Meselech Melkamu,ETH,19/04/1985,1,Utrecht,14/06/2009,Women,"10,000 m"
7,29:54.7,Tirunesh Dibaba,ETH,01/06/1985,1,Beijing,15/08/2008,Women,"10,000 m"
8,29:59.2,Meseret Defar,ETH,19/11/1983,1,Birmingham,07/11/2009,Women,"10,000 m"
9,30:01.1,Paula Radcliffe,GBR,17/12/1973,1,München,08/06/2002,Women,"10,000 m"
10,30:04.2,Berhane Adere,ETH,21/07/1973,1,Saint-Denis,23/08/2003,Women,"10,000 m"
11,00:30:07,Almaz Ayana,ETH,21/11/1991,1,Hengelo,29/06/2016,Women,"10,000 m"
12,30:07.2,Werknesh Kidane,ETH,21/11/1981,2,Saint-Denis,23/08/2003,Women,"10,000 m"
13,30:07.2,Sun Yingjie,CHN,03/10/1977,3,Saint-Denis,23/08/2003,Women,"10,000 m"
14,30:07.8,Betsy Saina,KEN,30/06/1988,5,Rio de Janeiro,08/12/2016,Women,"10,000 m"
15,30:08.1,Meseret Defar,ETH,19/11/1983,1,Sollentuna,27/06/2013,Women,"10,000 m"
16,30:11.5,Florence Kiplagat,KEN,27/02/1987,2,Utrecht,14/06/2009,Women,"10,000 m"
17,30:11.9,Ayalew Wude,ETH,04/07/1987,3,Utrecht,14/06/2009,Women,"10,000 m"
18,30:12.5,Lornah Kiplagat,NED,01/05/1974,4,Saint-Denis,23/08/2003,Women,"10,000 m"
19,30:13.2,Molly Huddle,USA,31/08/1984,6,Rio de Janeiro,08/12/2016,Women,"10,000 m"
20,30:13.4,Zhong Huandi,CHN,28/06/1967,2,Beijing,09/08/1993,Women,"10,000 m"
21,30:13.7,Yasemin Can,TUR,11/12/1996,7,Rio de Janeiro,08/12/2016,Women,"10,000 m"
22,30:13.7,Ingrid Kristiansen,NOR,21/03/1956,1,Oslo,07/05/1986,Women,"10,000 m"
23,30:15.7,Tirunesh Dibaba,ETH,01/06/1985,1,Sollentuna,28/06/2005,Women,"10,000 m"
24,30:17.1,Paula Radcliffe,GBR,17/12/1973,1,Gateshead,27/06/2004,Women,"10,000 m"
25,30:17.5,Derartu Tulu,ETH,21/03/1972,1,Sydney,30/09/2000,Women,"10,000 m"
26,30:18.4,Ejegayehu Dibaba,ETH,21/03/1982,2,Sollentuna,28/06/2005,Women,"10,000 m"
27,30:19.4,Werknesh Kidane,ETH,21/11/1981,1,Palo Alto,29/05/2005,Women,"10,000 m"
28,30:20.8,Tirunesh Dibaba,ETH,01/06/1985,1,London,08/03/2012,Women,"10,000 m"
29,30:21.7,Elvan Abeylegesse,TUR,11/09/1982,1,Antalya,15/04/2006,Women,"10,000 m"
30,30:22.2,Shalane Flanagan,USA,07/08/1981,2,Beijing,15/08/2008,Women,"10,000 m"
31,30:22.5,Getenesh Wami,ETH,11/12/1974,2,Sydney,30/09/2000,Women,"10,000 m"
32,30:22.9,Fernanda Ribeiro,POR,23/06/1969,3,Sydney,30/09/2000,Women,"10,000 m"
33,30:23.1,Alla Zhilyayeva,RUS,05/02/1969,5,Saint-Denis,23/08/2003,Women,"10,000 m"
34,30:23.2,Ingrid Kristiansen,NOR,21/03/1956,1,Stuttgart,30/08/1986,Women,"10,000 m"
35,30:24.0,Tirunesh Dibaba,ETH,01/06/1985,1,Helsinki,08/06/2005,Women,"10,000 m"
36,30:24.4,Xing Huina,CHN,25/02/1984,1,Athínai,27/08/2004,Women,"10,000 m"
37,30:24.4,Tirunesh Dibaba,ETH,01/06/1985,1,Eugene,06/01/2012,Women,"10,000 m"
38,30:24.6,Getenesh Wami,ETH,11/12/1974,1,Sevilla,26/08/1999,Women,"10,000 m"
39,30:24.8,Florence Kiplagat,KEN,27/02/1987,2,Eugene,06/01/2012,Women,"10,000 m"
40,30:25.0,Ejegayehu Dibaba,ETH,21/03/1982,2,Athínai,27/08/2004,Women,"10,000 m"
41,30:25.4,Berhane Adere,ETH,21/07/1973,2,Helsinki,08/06/2005,Women,"10,000 m"
42,00:30:26,Ejegayehu Dibaba,ETH,21/03/1982,3,Helsinki,08/06/2005,Women,"10,000 m"
43,30:26.2,Galina Bogomalova,RUS,15/10/1977,6,Saint-Denis,23/08/2003,Women,"10,000 m"
44,30:26.4,Sally Kipyego,KEN,19/12/1985,2,London,08/03/2012,Women,"10,000 m"
45,30:26.4,Derartu Tulu,ETH,21/03/1972,3,Athínai,27/08/2004,Women,"10,000 m"
46,30:26.5,Linet Masai,KEN,05/12/1989,3,Beijing,15/08/2008,Women,"10,000 m"
47,30:26.7,Gelete Burka,ETH,15/02/1986,8,Rio de Janeiro,08/12/2016,Women,"10,000 m"
48,30:26.7,Tirunesh Dibaba,ETH,01/06/1985,1,Ostrava,27/06/2013,Women,"10,000 m"
49,30:26.7,Beleynesh Oljira,ETH,26/06/1990,3,Eugene,06/01/2012,Women,"10,000 m"
50,30:26.9,Alice Nawowuna,KEN,11/03/1994,1,Durban,25/06/2016,Women,"10,000 m"
51,30:27.0,Paula Radcliffe,GBR,17/12/1973,4,Sydney,30/09/2000,Women,"10,000 m"
52,30:27.1,Paula Radcliffe,GBR,17/12/1973,2,Sevilla,26/08/1999,Women,"10,000 m"
53,30:27.2,Xing Huina,CHN,25/02/1984,4,Helsinki,08/06/2005,Women,"10,000 m"
54,30:28.3,Sun Yingjie,CHN,03/10/1977,1,Busan,10/08/2002,Women,"10,000 m"
55,30:28.3,Werknesh Kidane,ETH,21/11/1981,4,Athínai,27/08/2004,Women,"10,000 m"
56,30:28.5,Gelete Burka,ETH,15/02/1986,2,Hengelo,29/06/2016,Women,"10,000 m"
57,30:28.5,Tirunesh Dibaba,ETH,01/06/1985,3,Hengelo,29/06/2016,Women,"10,000 m"
58,30:29.2,Gladys Cherono,KEN,12/05/1983,2,Ostrava,27/06/2013,Women,"10,000 m"
59,30:29.4,Liliya Shobukhova,RUS,13/11/1977,1,Cheboksary,23/07/2009,Women,"10,000 m"
60,30:30.3,Edith Masai,KEN,04/04/1967,5,Helsinki,08/06/2005,Women,"10,000 m"
61,30:30.4,Vivian Cheruiyot,KEN,11/09/1983,3,London,08/03/2012,Women,"10,000 m"
62,30:31.0,Mariya Konovalova,RUS,14/08/1974,2,Cheboksary,23/07/2009,Women,"10,000 m"
63,30:31.4,Inga Abitova,RUS,06/03/1982,1,Göteborg,08/07/2006,Women,"10,000 m"
64,30:31.4,Beleynesh Oljira,ETH,26/06/1990,3,Ostrava,27/06/2013,Women,"10,000 m"
65,30:31.6,Xing Huina,CHN,25/02/1984,7,Saint-Denis,23/08/2003,Women,"10,000 m"
66,30:31.9,Lornah Kiplagat,NED,01/05/1974,5,Athínai,27/08/2004,Women,"10,000 m"
67,30:32.0,Tegla Loroupe,KEN,09/05/1973,3,Sevilla,26/08/1999,Women,"10,000 m"
68,30:32.4,Susanne Wigene,NOR,12/02/1978,2,Göteborg,08/07/2006,Women,"10,000 m"
69,30:32.5,Werknesh Kidane,ETH,21/11/1981,6,Helsinki,08/06/2005,Women,"10,000 m"
70,30:32.7,Lidiya Grigoryeva,RUS,21/01/1974,3,Göteborg,08/07/2006,Women,"10,000 m"
71,30:33.5,Sun Yingjie,CHN,03/10/1977,7,Helsinki,08/06/2005,Women,"10,000 m"
72,30:33.7,Galina Bogomalova,RUS,15/10/1977,8,Helsinki,08/06/2005,Women,"10,000 m"
73,30:34.5,Shalane Flanagan,USA,07/08/1981,1,Palo Alto,05/04/2008,Women,"10,000 m"
74,30:35.5,Kim Smith,NZL,19/11/1981,2,Palo Alto,05/04/2008,Women,"10,000 m"
75,30:35.8,Mariya Konovalova,RUS,14/08/1974,4,Beijing,15/08/2008,Women,"10,000 m"
76,30:35.9,Galina Bogomalova,RUS,15/10/1977,4,Göteborg,08/07/2006,Women,"10,000 m"
77,30:35.9,Ababel Yeshaneh,ETH,10/06/1990,4,Ostrava,27/06/2013,Women,"10,000 m"
78,30:36.8,Netsanet Gudeta,ETH,12/02/1991,4,Hengelo,29/06/2016,Women,"10,000 m"
79,30:37.3,Tegla Loroupe,KEN,09/05/1973,5,Sydney,30/09/2000,Women,"10,000 m"
79,30:37.3,Lornah Kiplagat,NED,01/05/1974,5,Göteborg,08/07/2006,Women,"10,000 m"
81,30:37.4,Genet Yalew,ETH,31/12/1992,5,Hengelo,29/06/2016,Women,"10,000 m"
82,30:37.7,Benita Willis,AUS,06/05/1979,8,Saint-Denis,23/08/2003,Women,"10,000 m"
83,30:38.1,Dong Yanmei,CHN,16/02/1977,1,Shanghai,19/10/1997,Women,"10,000 m"
84,30:38.3,Mestawat Tufa,ETH,14/09/1983,1,Nijmegen,26/06/2008,Women,"10,000 m"
85,30:38.4,Sally Kipyego,KEN,19/12/1985,1,Palo Alto,05/01/2011,Women,"10,000 m"
86,30:38.8,Jelena Prokopcuka,LAT,21/09/1976,6,Göteborg,08/07/2006,Women,"10,000 m"
87,30:39.4,Werknesh Kidane,ETH,21/11/1981,4,London,08/03/2012,Women,"10,000 m"
88,30:39.4,Lan Lixin,CHN,14/02/1979,2,Shanghai,19/10/1997,Women,"10,000 m"
89,30:39.6,Shalane Flanagan,USA,07/08/1981,2,Palo Alto,05/01/2011,Women,"10,000 m"
90,30:40.0,Lucy Kabuu,KEN,24/03/1984,5,Beijing,15/08/2008,Women,"10,000 m"
91,30:40.0,Yin Lili,CHN,11/11/1979,3,Shanghai,19/10/1997,Women,"10,000 m"
92,30:40.3,Lornah Kiplagat,NED,01/05/1974,6,Beijing,15/08/2008,Women,"10,000 m"
93,30:40.6,Senbere Teferi,ETH,03/05/1995,6,Hengelo,29/06/2016,Women,"10,000 m"
94,30:40.7,Paula Radcliffe,GBR,17/12/1973,1,Barakaldo,04/10/1999,Women,"10,000 m"
95,30:41.4,Werknesh Kidane,ETH,21/11/1981,1,Palo Alto,06/07/2003,Women,"10,000 m"
96,30:42.3,Sally Kipyego,KEN,19/12/1985,1,Palo Alto,05/04/2014,Women,"10,000 m"
97,30:42.7,Paula Radcliffe,GBR,17/12/1973,9,Helsinki,08/06/2005,Women,"10,000 m"
98,30:43.3,Tirunesh Dibaba,ETH,01/06/1985,1,Moskva,08/11/2013,Women,"10,000 m"
99,30:43.4,Ejegayehu Dibaba,ETH,21/03/1982,1,Barakaldo,07/10/2004,Women,"10,000 m"
100,30:45.2,Gladys Cherono,KEN,12/05/1983,2,Moskva,08/11/2013,Women,"10,000 m"
101,30:45.6,Beleynesh Oljira,ETH,26/06/1990,5,London,08/03/2012,Women,"10,000 m"
102,30:46.5,Galina Bogomalova,RUS,15/10/1977,1,Tula,08/03/2003,Women,"10,000 m"
103,30:46.7,Inga Abitova,RUS,06/03/1982,1,Kazan,17/07/2008,Women,"10,000 m"
104,30:47.0,Beleynesh Oljira,ETH,26/06/1990,3,Moskva,08/11/2013,Women,"10,000 m"
105,30:47.0,Emily Chebet,KEN,18/02/1986,4,Moskva,08/11/2013,Women,"10,000 m"
106,30:47.2,Sylvia Kibet,KEN,28/03/1984,4,Utrecht,14/06/2009,Women,"10,000 m"
107,30:47.2,Dong Zhaoxia,CHN,13/11/1974,4,Shanghai,19/10/1997,Women,"10,000 m"
108,30:47.3,Shitaye Eshete,BRN,21/05/1990,6,London,08/03/2012,Women,"10,000 m"
109,30:47.6,Sonia O'Sullivan,IRL,28/11/1969,2,München,08/06/2002,Women,"10,000 m"
109,30:47.6,Molly Huddle,USA,31/08/1984,2,Palo Alto,05/04/2014,Women,"10,000 m"
111,30:47.7,Wang Dongmei,CHN,03/12/1973,5,Shanghai,19/10/1997,Women,"10,000 m"
112,30:48.1,Fernanda Ribeiro,POR,23/06/1969,1,Lisboa,04/04/1998,Women,"10,000 m"
113,30:48.3,Aberu Kebede,ETH,12/09/1989,5,Utrecht,14/06/2009,Women,"10,000 m"
114,30:48.5,Ingrid Kristiansen,NOR,21/03/1956,1,Oslo,07/01/1989,Women,"10,000 m"
115,30:48.6,Paula Radcliffe,GBR,17/12/1973,2,Lisboa,04/04/1998,Women,"10,000 m"
116,30:48.9,Yoko Shibui,JPN,14/03/1979,1,Palo Alto,05/03/2002,Women,"10,000 m"
117,30:49.0,Vivian Cheruiyot,KEN,11/09/1983,1,Daegu,27/08/2011,Women,"10,000 m"
118,30:49.3,Wang Junxia,CHN,09/01/1973,1,Stuttgart,21/08/1993,Women,"10,000 m"
119,30:49.7,Gelete Burka,ETH,15/02/1986,1,Hengelo,17/06/2015,Women,"10,000 m"
120,30:50.0,Sally Kipyego,KEN,19/12/1985,2,Daegu,27/08/2011,Women,"10,000 m"
121,30:50.2,Werknesh Kidane,ETH,21/11/1981,4,Eugene,06/01/2012,Women,"10,000 m"
122,30:50.3,Beleynesh Oljira,ETH,26/06/1990,7,Hengelo,29/06/2016,Women,"10,000 m"
123,30:50.3,Deena Kastor,USA,14/02/1973,2,Palo Alto,05/03/2002,Women,"10,000 m"
124,30:50.3,Wang Junxia,CHN,09/01/1973,1,Hiroshima,15/10/1994,Women,"10,000 m"
125,30:50.8,Alemitu Heroye,ETH,09/05/1995,2,Hengelo,17/06/2015,Women,"10,000 m"
126,00:30:51,Kim Smith,NZL,19/11/1981,7,Beijing,15/08/2008,Women,"10,000 m"
127,30:51.1,Derartu Tulu,ETH,21/03/1972,2,Barakaldo,07/10/2004,Women,"10,000 m"
128,30:51.3,Berhane Adere,ETH,21/07/1973,1,Heusden-Zolder,08/05/2000,Women,"10,000 m"
129,30:51.3,Meselech Melkamu,ETH,19/04/1985,2,Berlin,15/08/2009,Women,"10,000 m"
130,30:51.7,Marta Domínguez,ESP,03/11/1975,7,Göteborg,08/07/2006,Women,"10,000 m"
131,30:51.8,Kayoko Fukushi,JPN,25/03/1982,2,Busan,10/08/2002,Women,"10,000 m"
132,30:51.9,Hilda Kibet,NED,27/03/1981,6,Utrecht,14/06/2009,Women,"10,000 m"
133,30:52.0,Edith Masai,KEN,04/04/1967,1,Utrecht,17/06/2005,Women,"10,000 m"
134,30:52.4,Meseret Defar,ETH,19/11/1983,5,Berlin,15/08/2009,Women,"10,000 m"
135,30:52.5,Elana Meyer,RSA,10/10/1966,1,London,09/10/1994,Women,"10,000 m"
136,30:53.2,Joanne Pavey,GBR,20/09/1973,7,London,08/03/2012,Women,"10,000 m"
137,30:53.4,Sonia O'Sullivan,IRL,28/11/1969,6,Sydney,30/09/2000,Women,"10,000 m"
138,30:53.6,Linet Masai,KEN,05/12/1989,3,Daegu,27/08/2011,Women,"10,000 m"
139,30:53.7,Beleynesh Oljira,ETH,26/06/1990,3,Hengelo,17/06/2015,Women,"10,000 m"
140,30:54.1,Ababel Yeshaneh,ETH,10/06/1990,8,Hengelo,29/06/2016,Women,"10,000 m"
141,30:54.3,Kayoko Fukushi,JPN,25/03/1982,3,Palo Alto,05/01/2011,Women,"10,000 m"
142,30:54.4,Sun Yingjie,CHN,03/10/1977,6,Athínai,27/08/2004,Women,"10,000 m"
143,30:54.6,Tadelech Bekele,ETH,11/04/1991,9,Hengelo,29/06/2016,Women,"10,000 m"
144,30:55.2,Kara Goucher,USA,09/07/1978,8,Beijing,15/08/2008,Women,"10,000 m"
145,30:55.5,Sula Utura,ETH,08/02/1990,5,Ostrava,27/06/2013,Women,"10,000 m"
146,30:55.6,Mamitu Daska,ETH,16/10/1983,4,Hengelo,17/06/2015,Women,"10,000 m"
147,30:55.6,Julia Bleasdale,GBR,09/09/1981,8,London,08/03/2012,Women,"10,000 m"
148,30:55.7,Irene Kwambai,KEN,25/10/1978,2,Utrecht,17/06/2005,Women,"10,000 m"
149,30:55.8,Paula Radcliffe,GBR,17/12/1973,1,Barakaldo,04/07/2001,Women,"10,000 m"
149,30:55.8,Irene Kwambai,KEN,25/10/1978,10,Helsinki,08/06/2005,Women,"10,000 m"
151,30:55.8,Liu Shixiang,CHN,13/01/1971,6,Shanghai,19/10/1997,Women,"10,000 m"
152,30:56.3,Netsanet Gudeta,ETH,12/02/1991,1,Herzogenaurach,13/05/2016,Women,"10,000 m"
153,30:56.4,Derartu Tulu,ETH,21/03/1972,1,Gijón,08/12/2000,Women,"10,000 m"
154,30:56.4,Priscah Cherono,KEN,27/06/1980,4,Daegu,27/08/2011,Women,"10,000 m"
155,30:56.5,Meselech Melkamu,ETH,19/04/1985,5,Daegu,27/08/2011,Women,"10,000 m"
156,30:56.7,Hitomi Niiya,JPN,26/02/1988,5,Moskva,08/11/2013,Women,"10,000 m"
157,30:57.1,Elizabeth McColgan,GBR,24/05/1964,1,Hengelo,25/06/1991,Women,"10,000 m"
158,30:57.1,Alla Zhilyayeva,RUS,05/02/1969,2,Tula,08/03/2003,Women,"10,000 m"
159,30:57.2,Olga Bondarenko,RUS,02/06/1960,2,Stuttgart,30/08/1986,Women,"10,000 m"
160,30:57.3,Betsy Saina,KEN,30/06/1988,3,Palo Alto,05/04/2014,Women,"10,000 m"
161,30:57.7,Leah Malot,KEN,07/06/1972,2,Heusden-Zolder,08/05/2000,Women,"10,000 m"
162,30:57.8,Peninah Arusei,KEN,23/02/1979,1,Steenwijk,18/07/2008,Women,"10,000 m"
163,30:57.8,Lidiya Grigoryeva,RUS,21/01/1974,3,Tula,08/03/2003,Women,"10,000 m"
164,30:57.9,Kayoko Fukushi,JPN,25/03/1982,1,Oita,30/09/2006,Women,"10,000 m"
165,30:58.0,Ayalew Wude,ETH,04/07/1987,5,Hengelo,17/06/2015,Women,"10,000 m"
166,30:58.3,Genet Yalew,ETH,31/12/1992,2,Herzogenaurach,13/05/2016,Women,"10,000 m"
167,30:58.5,Hilda Kibet,NED,27/03/1981,1,Utrecht,30/05/2008,Women,"10,000 m"
168,30:59.2,Hitomi Niiya,JPN,26/02/1988,9,London,08/03/2012,Women,"10,000 m"
169,30:59.3,Mariya Konovalova,RUS,14/08/1974,2,Kazan,17/07/2008,Women,"10,000 m"
170,30:59.4,Ingrid Kristiansen,NOR,21/03/1956,1,Oslo,27/07/1985,Women,"10,000 m"
171,30:59.9,Merima Hashim,ETH,01/01/1981,3,Heusden-Zolder,08/05/2000,Women,"10,000 m"
172,31:00.0,Shalane Flanagan,USA,07/08/1981,1,Eugene,23/06/2011,Women,"10,000 m"
173,31:00.3,Mestawat Tufa,ETH,14/09/1983,1,Valkenswaard,26/06/2007,Women,"10,000 m"
174,31:00.6,Kayoko Fukushi,JPN,25/03/1982,1,Helsinki,26/07/2006,Women,"10,000 m"
175,31:00.7,Xing Huina,CHN,25/02/1984,1,Nanjing,17/10/2005,Women,"10,000 m"
176,31:01.1,Ejegayehu Dibaba,ETH,21/03/1982,9,Saint-Denis,23/08/2003,Women,"10,000 m"
177,31:01.1,Kayoko Fukushi,JPN,25/03/1982,9,Beijing,15/08/2008,Women,"10,000 m"
178,31:01.1,Lidiya Grigoryeva,RUS,21/01/1974,1,Tula,25/06/2004,Women,"10,000 m"
179,31:01.6,Fernanda Ribeiro,POR,23/06/1969,1,Atlanta,08/02/1996,Women,"10,000 m"
180,31:01.8,Wang Junxia,CHN,09/01/1973,1,Nanjing,05/07/1996,Women,"10,000 m"
181,31:02.6,Wang Junxia,CHN,09/01/1973,2,Atlanta,08/02/1996,Women,"10,000 m"
182,31:02.7,Ejegayehu Dibaba,ETH,21/03/1982,2,Palo Alto,06/07/2003,Women,"10,000 m"
183,31:02.9,Linet Masai,KEN,05/12/1989,6,Ostrava,27/06/2013,Women,"10,000 m"
184,31:03.4,Tirunesh Dibaba,ETH,01/06/1985,1,Ostrava,06/12/2008,Women,"10,000 m"
185,31:03.6,Marleen Renders,BEL,24/12/1968,4,Heusden-Zolder,08/05/2000,Women,"10,000 m"
186,31:03.6,Kathrin Weßel,GER,14/08/1967,1,Frankfurt,30/06/1991,Women,"10,000 m"
187,31:03.7,Kayoko Fukushi,JPN,25/03/1982,11,Helsinki,08/06/2005,Women,"10,000 m"
188,00:31:04,Lyudmila Biktasheva,RUS,25/07/1974,3,München,08/06/2002,Women,"10,000 m"
189,31:04.0,Lornah Kiplagat,NED,01/05/1974,2,Nijmegen,26/06/2008,Women,"10,000 m"
190,31:04.0,Ejegayehu Dibaba,ETH,21/03/1982,2,Ostrava,06/12/2008,Women,"10,000 m"
191,31:04.1,Jelena Prokopcuka,LAT,21/09/1976,7,Athínai,27/08/2004,Women,"10,000 m"
192,31:04.2,Fernanda Ribeiro,POR,23/06/1969,2,London,09/10/1994,Women,"10,000 m"
193,31:04.3,Jane Wanjiku,KEN,14/06/1979,1,Kobe,25/04/2004,Women,"10,000 m"
194,31:04.5,Derebe Alemu,ETH,05/06/1983,1,Uden,07/03/2004,Women,"10,000 m"
195,31:04.5,Meselech Melkamu,ETH,19/04/1985,1,Ostrava,27/05/2010,Women,"10,000 m"
196,31:04.6,Jelena Prokopcuka,LAT,21/09/1976,12,Helsinki,08/06/2005,Women,"10,000 m"
197,31:04.6,Beleynesh Oljira,ETH,26/06/1990,1,Dubai,23/04/2016,Women,"10,000 m"
198,31:04.6,Galina Bogomalova,RUS,15/10/1977,1,Tula,14/06/2005,Women,"10,000 m"
199,31:04.6,Lidiya Grigoryeva,RUS,21/01/1974,8,Athínai,27/08/2004,Women,"10,000 m"
200,31:04.8,Shalane Flanagan,USA,07/08/1981,1,Palo Alto,29/03/2013,Women,"10,000 m"
